mfa_id,name
3191,Wanfeng
3193,Yuejin
3194,Carlarky
3196,Gac
3199,Suzuki (Changhe)
3202,Roewe (Saic)
3267,Europestar
3274,Daihatsu (Faw)
3276,Hsv
3282,Plaxton
3284,Rely
3285,Riich
3286,Karry
3297,Fpv
3300,Maxus
3328,Tesla
3332,Emgrand
3443,Tazzari
3495,Artega
3497,Dr
3500,Gruau
3507,Icml
3514,Think
3522,Mercedes-Benz (Fjda)
3526,Anadol
3527,Chevrolet (Sgm)
3528,Cadillac (Sgm)
3530,Skoda (Svw)
3531,Peugeot (Df-Psa)
3532,Mazda (Changan)
3533,Volvo (Changan)
3549,Maruti Suzuki
3551,Maz-Man
3554,Mahindra Renault
3555,Reva
3562,Hawtai
3610,Faw
3618,Effedi
3620,Ud Trucks
3625,Noble
3645,Mercedes-Benz (Bbdc)
3646,Chrysler (Bbdc)
3650,Mitsubishi (Bjc)
3651,Chevrolet (Sgmw)
3652,Effa
3656,Ford (Jmc)
3657,Soueast
3658,Mitsubishi (Soueast)
3659,Dongfeng
3661,Lotus (Youngman)
3677,Inokom
3678,Chamonix
3679,Lobini
3680,Tac
3681,Troller
3687,Allgaier
3688,Bucher
3689,Ram
3696,Workhorse
3697,Gleagle
3704,Englon
3719,Coda
3729,Bharatbenz
3738,Fisker
3740,Pyeonghwa (Pmc)
3741,Fuso (Mitsubishi)
3742,Luxgen
3750,Vdl
3752,Vpg
3761,Fiat (Gac)
3762,Besturn (Faw)
3763,Ural
3764,Baojun (Sgmw)
3770,C.A.M
3771,Foday
3772,Cmc
3773,Baic
3794,Mastretta
3799,Venucia
3804,Laz
3805,King Long
3806,Viseon
3819,Yagmur
3820,Pasquali
3821,Ferrari Agri
3822,Caron
3823,Challenger
3824,Sonalika
3826,Solis
3828,Durso
3829,Armatrac
3830,Bm Tractors
3831,Branson
3833,Kioti
3837,Mitsubishi (Gac)
3838,Mg (Saic)
3839,Qoros
3842,Autozam
3848,Shaanxi
3849,Jiefang (Faw)
3854,Abarth
3855,Sinotruk (Cnhtc)
3913,Haima (Zhengzhou)
3914,Mccormick
3915,Belarus
3923,Weituo
3946,Farmtrac
3960,Basak
3961,Mia Electric
3968,Haval
3971,Andoria
3972,Preet
3974,Al-Ghazi
3975,Swaraj
3991,Can-Am
3993,Jonway
3997,Gonow (Gac)
3999,Ds (Capsa)
4002,Yema
4004,Beiben
4010,Srt
4015,Streetscooter
4033,Zinoro
4036,Baic Huansu
4048,Buell
4052,Daelim
4054,Gilera
4055,Harley-Davidson
4056,Hyosung
4060,Malaguti
4061,Mbk
4062,Moto Guzzi
4063,Mz
4064,Sachs
4065,Simson
4069,Vespa
4070,Kreidler
4071,Derbi
4072,Fantic
4073,Italjet
4074,Jawa
4075,Laverda Motorcycles
4076,Maico
4077,Moto-Morini
4078,Pgo Motorcycles
4079,Sanglas
4080,Tornax
4087,Hercules
4089,Denza
4152,Ruf
4161,Brabus
4162,Bufori
4163,Koenigsegg
4164,Pagani
4167,Volvo Asia
4176,Higer
4177,Chtc Auto
4179,Jincheng
4180,Joylong
4181,Kawei Auto
4182,Kavz
4186,Liaz Bus
4187,Lloyd
4189,Forland
4191,Yutong
4211,Infiniti (Dfac)
4214,Cowin
4219,Microcar
4231,Lml
4239,Brandy
4240,Dafra
4241,Husqvarna
4242,Kasinski
4244,Traxx
4245,Sym
