eng_id,Код двигателя,Мощность (kw) от,Мощность (kw) до,Мощность (л.с.) от,Мощность (л.с.) до,Объем двигателя (л.),Диаметр цилиндра (мм),Количество цилиндров,Количество клапанов,Тип топлива двигателя
30517,LE0,175,180,238,245,3.6,94,6,24,бензин
13990,T 4.40 B/3,99,102,135,139,4,100,4,8,Дизель
16189,F4P 760,88,,120,,1.8,82.7,4,16,бензин
23172,OM 344.938,115,125,156,170,5.7,97,6,12,Дизель
46056,4D37,100,125,136,170,3.9,104,4,16,Дизель
7645,D 0226 MF,92,100,125,136,5.7,102,6,12,Дизель
2346,4G93 (SOHC 16V),81,115,110,156,1.8,81,4,16,бензин
50280,5GB (EP6FADTXHPP),147,,200,,1.6,77,4,16,бензин
43981,UYH477,324,324,441,441,5,83.9,12,24,бензин
21321,9HT (DV6BTED4),55,,75,,1.6,75,4,16,Дизель
48536,TZ180XS000,60,,82,,,,,,электричество
34248,LY8,59,,80,,1.3,74,4,16,бензин
33179,M2DB,74,,100,,1,71.9,3,12,бензин
35550,2NR-FBE,71,81,97,110,1.5,72.5,4,16,бензин
27997,JTJA,134,,182,,1.6,79,4,16,бензин
661,HDZ (TU1M),40,44,55,60,1.1,72,4,8,бензин
36281,G4NH,110,,150,,2,81,4,16,бензин
27958,CRKB,81,,110,,1.6,79.5,4,16,Дизель
49600,M9T 708,100,120,136,163,2.3,85,4,16,Дизель
44984,ISBe6.7E4-300,221,,300,,6.7,107,6,24,Дизель
41129,JE4D25Q6A,110,,150,,2.5,,4,16,Дизель
1930,B6,64,66,87,90,1.6,78,4,16,бензин
1949,BP (DOHC),92,96,125,130,1.8,83,4,16,бензин
24219,DV11S,287,324,390,440,11,128,6,24,Дизель
33739,C2L 710,46,59,63,80,1.6,77,4,8,бензин
17875,F 2L 812,15,21,20,28,1.7,95,2,4,Дизель
45904,TNN4G15A,82,,112,,1.5,75,4,16,бензин
37568,B48 A20 E,200,225,272,306,2,82,4,16,бензин
15904,BHDB,55,57,75,78,1.8,82.5,4,8,Дизель
42676,LNG04,5,5,7,7,0.05,,1,,бензин
42474,FP55,84,84,114,114,1.8,83,4,16,бензин
40476,DTSB,110,,150,,2,81,4,16,Дизель
32010,4G20-C,75,,102,,2,86,4,8,бензин
28884,B 16 DTL,81,,110,,1.6,79.7,4,16,Дизель
31266,ZY66,75,83,102,113,1.5,78,4,16,бензин
37930,F2CE0681C*B052,250,,340,,8.7,117,6,24,Дизель
7775,D 2866 F/240,177,,240,,12,128,6,12,Дизель
37193,LS4(454CUV8),160,257,218,350,7.4,107.95,8,16,бензин
37261,G13B,56,64,76,87,1.3,74,4,16,бензин
42450,16A,37,37,50,50,1.6,69.5,4,8,бензин
49092,F3.8NS6B156,115,,156,,3.8,,4,16,Дизель
26949,22DIE,45,,61,,2.2,88,4,8,Дизель
34714,A 24 XF,123,126,167,171,2.4,88,4,16,бензин
23311,BUJ,386,,525,,5.2,84.5,10,40,бензин
16132,VQ35,162,201,220,273,3.5,95.5,6,24,бензин
45353,ISF2.8-S3129T,96,96,130,131,2.8,94,4,16,Дизель
28045,G6DJ,228,260,310,354,3.8,96,6,24,бензин
6695,B,53,59,78,80,3,95,4,8,Дизель
44663,CAF384WQ2P,123,,167,,1.5,,3,12,бензин
39350,DK15-01,85,,116,,1.5,75,4,16,бензин
45769,F4GA,107,,145,,2,82,4,16,Бензин/спирт
35659,SFDC,63,,85,,1,71.9,3,12,бензин
51166,DXNB,142,,193,,2,81,4,16,Дизель
3512,B201S,107,,145,,2,90,4,8,бензин
18483,2AD-FHV,100,130,136,177,2.2,86,4,16,Дизель
31994,4G22-D4,104,,141,,2.2,91,4,16,бензин
8040,OM 616.914,53,,72,,2.4,91,4,8,Дизель
34787,CZDD,92,,125,,1.4,74.5,4,16,бензин
33908,YC6MK340-40,250,,340,,10.3,123,6,24,Дизель
6638,DKX 1160 ATi,260,,354,,11.6,130,6,12,Дизель
266,HP,85,,115,,2,81,5,10,бензин
33433,B36 A15 A,75,100,102,136,1.5,82,3,12,бензин
2855,RFY (XU10J4Z),110,112,150,152,2,86,4,16,бензин
25120,VC,59,60,80,82,1.8,80,4,8,бензин
52398,DNFF,245,,333,,2,82.5,4,16,бензин
41180,B 4204 T41,180,,245,,2,82,4,16,бензин
21540,N46 B20 CC,100,115,136,156,2,84,4,16,бензин
11511,8210.42.235,265,,360,,13.8,137,6,12,Дизель
4622,A112 B2.000,29,32,40,44,0.9,65,4,8,бензин
4460,KA24E,91,,124,,2.4,89,4,12,бензин
26410,4G63 (SOHC 16V),78,101,106,137,2,85,4,16,бензин
28261,M2GA,74,,100,,1,71.9,3,12,бензин
24451,CFGB,125,,170,,2,81,4,16,Дизель
43948,YVDA,287,287,390,390,2.3,87.5,4,16,бензин
42431,M5R,106,110,144,150,2,84,4,16,бензин
43670,G6DJ,232,232,316,316,3.8,96,6,24,бензин
20920,CFLA,173,,235,,3.2,84,6,24,бензин
45951,K15C,75,77,102,105,1.5,74,4,16,Бензин/газ
51316,MF,345,347,469,472,5,93,8,32,бензин
30250,B46 A20 A,120,155,163,211,2,,4,16,бензин
42036,CHE110,63,63,86,86,1.8,90.4,4,8,бензин
31185,M52 B28 (286ST5),224,,305,,3.4,87,6,24,бензин
4319,CL 61,35,,48,,1,76,3,6,Дизель
17068,BDB,184,,250,,3.2,84,6,24,бензин
39794,BYD-3425TZ-XS-A,180,,245,,,,,,электричество
43939,TL21S,112,112,152,152,2.1,93.2,4,8,бензин
38420,BLFA,125,,170,,2,84.01,4,16,Дизель
40311,AL 402 LTC,54,120,73,163,6.5,107.18,6,12,Дизель
37883,MC05.21-50,148,,201,,4.6,108,4,16,Дизель
7800,D 2566 MK/280,206,,280,,11.4,125,6,12,Дизель
40748,CY4102-C3B,100,,136,,3.9,102,4,16,Дизель
34792,HFC4DB1.2D,100,102,136,139,1.9,83,4,16,Дизель
21098,F4AE3681B,160,,218,,5.9,102,6,24,Дизель
648,E1A,35,40,48,54,1.1,72,4,8,бензин
37379,LIV,92,,125,,1,,3,12,бензин
44498,D 420 T8,88,145,120,197,2,82,4,16,Дизель
26412,K5A (TU3),47,51,64,69,1.4,75,4,8,бензин
29897,M9T 870,74,81,100,110,2.3,85,4,16,Дизель
17507,RHR (DW10BTED4),100,103,136,140,2,85,4,16,Дизель
2675,28 E,118,121,160,165,2.8,92,6,12,бензин
20514,BWB,51,,70,,1.4,79.5,3,6,Дизель
52927,D 2676 LF AG,350,,476,,12.4,126,6,24,Дизель
43577,B5,59,59,80,80,1.5,78,4,8,бензин
17260,BF 4M 2012 C*,84,93,114,126,4,101,4,8,Дизель
3382,J8S 702,63,,86,,2.1,86,4,8,Дизель
26214,MR20,106,110,144,150,2,84,4,16,бензин
44632,BCCC,140,,190,,2,84,4,16,Дизель
38333,DFNB,48,,65,,1,74.5,3,12,бензин
45685,E13C-US,331,,450,,12.9,137,6,24,Дизель
43433,123,26,28,35,38,0.6,73.5,2,4,бензин
9401,MN,33,,45,,1.3,75,4,8,Дизель
17061,F4R 797,120,125,163,170,2,82.7,4,16,бензин
43269,BFR522V,423,423,575,575,6,87,12,48,бензин
26880,JM491Q-ME,76,,103,,2.2,91,4,8,бензин
34088,VQ25HR,164,,223,,2.5,85,6,24,бензин
25874,IQDB,77,,105,,1.6,79,4,16,бензин
17201,F 3L 913,35,44,48,60,3.1,102,3,6,Дизель
3962,B 28 A,95,97,129,132,2.8,91,6,12,бензин
19199,BWA,147,,200,,2,82.5,4,16,бензин
42023,B302,19,28,26,38,0.8,70,3,,бензин
34894,JL476ZQCD,105,115,143,156,1.5,76,4,16,бензин
46320,1E13(J4C),44,,60,,1.3,74,4,8,бензин
39788,EM 780.998,300,,408,,,,,,электричество
43753,AS346,92,92,125,125,3.4,90,6,12,бензин
42716,H,60,60,82,82,1.6,87.3,4,8,бензин
16320,YD22ETI,84,100,114,136,2.2,86,4,16,Дизель
38603,FE6T,160,,217,,6.9,108,6,12,Дизель
42539,VA,93,95,126,129,2,90.3,4,16,бензин
54698,FE,74,,101,,2,86,4,12,бензин
38030,CA6DM2-39E3,300,,408,,11,123,6,24,Дизель
38943,WP4.165E40,121,,165,,4.5,105,4,8,Дизель
48009,SQR372,15,39,20,53,0.8,72,3,12,бензин
2883,KF5,71,,97,,1.8,84,4,8,бензин
18199,BLR,110,,150,,2,82.5,4,16,бензин
3820,4A-FE,66,136,90,185,1.6,81,4,16,бензин
30899,CSSA,110,,150,,1.4,74.5,4,16,бензин
30199,CAF488WQ3,149,,203,,2,87.5,4,16,бензин
12082,JJD,36,,49,,1.3,74,4,8,бензин
25239,4A30,37,47,50,64,0.7,60,4,16,бензин
23623,D 5244 T14,129,,175,,2.4,81,5,20,Дизель
39964,21116,64,66,87,90,1.6,82,4,8,бензин
3254,F3N 722,66,70,90,95,1.7,81,4,8,бензин
45075,LJV,135,,184,,1.5,,4,16,бензин
20450,8140.43N,107,,146,,2.8,94.4,4,8,Дизель
45558,B4D 424,52,53,71,72,1,71,3,12,бензин
36153,JL473Q1,74,,101,,1.4,73,4,16,бензин
21826,D 4204 T2,96,98,131,133,2,85,4,16,Дизель
32439,N20 B20 A,135,180,184,245,2,84,4,16,бензин
13028,132 AZ2.000,51,,69,,1.9,84,4,8,бензин
28339,M20 B23 (236EC),102,110,139,150,2.3,80,6,12,бензин
30293,ISF3.8-S3150,110,120,150,163,3.8,102,4,16,Дизель
37530,TZ203XSA08000,130,,177,,,,,,электричество
29321,GA4G12,63,,86,,1.2,69.7,4,16,бензин
38496,BA,40,48,54,65,1.6,85.5,4,8,бензин
4765,20 XE,115,,156,,2,86,4,16,бензин
4866,F7R 710,108,110,147,150,2,82.7,4,16,бензин
18847,C20SED,81,94,110,128,2,86,4,16,бензин
22472,XC7,54,,73,,1.6,84,4,8,бензин
3078,852 710,49,,67,,2.1,86,4,8,Дизель
37602,D 0834 LFL 90,140,,190,,4.6,108,4,16,Дизель
45366,YC6K1243-50,316,,430,,12.2,129,6,24,Дизель
19501,JL465Q7,34,39,46,53,1,65.5,4,8,бензин
47372,DK12-05,65,,88,,1.2,,4,16,Бензин/газ
23380,4G18,74,,101,,1.6,76,4,16,бензин
36711,EB164,736,,1001,,8,86,16,64,бензин
34378,FA19,85,,116,,2,84,4,8,бензин
49504,TZ220XS000,220,,299,,,,,,электричество
23672,D 2066 LOH 26,235,,320,,10.5,120,6,24,Дизель
4447,F4B,54,55,73,75,1.4,77.25,4,8,бензин
20410,21 L,83,89,113,121,2.5,90.475,4,8,Дизель
36823,TZ220XSA5H01,132,,179,,,,,,электричество
38542,108C (XV8),33,,45,,1,70,4,8,бензин
34612,YC6J200-30,147,,200,,6.5,105,6,24,Дизель
24880,G4LA,55,65,75,88,1.2,71,4,16,Бензин/газ
42298,XU7JP4,82,82,112,112,1.8,83,4,16,бензин
19640,ZH16L1U,65,70,88,95,1.6,79,4,8,бензин
35718,C20HD0D,127,196,178,267,2,87.5,4,16,бензин
17905,AGR,66,,90,,1.9,79.5,4,8,Дизель
3240,F2N 754,65,,88,,1.7,81,4,8,бензин
42737,B14A,51,51,69,69,1.4,75,4,8,бензин
49,AR 06124,136,138,185,188,3,93,6,12,бензин
48125,4B1-82C43,60,,82,,2.2,85,4,8,Дизель
5808,OM 446.928,280,,381,,14.6,128,8,16,Дизель
19838,VQ25DDLE,154,,209,,2.5,85,6,24,бензин
42227,EF-KL,31,41,42,56,0.7,68,3,6,бензин
39724,SC7H260Q5,192,,261,,6.4,105,6,24,Дизель
40082,F23A2,110,,150,,2.3,86,4,16,бензин
30442,D 0836 LOH 70,213,,290,,6.9,108,6,24,Дизель
52924,HPX (EB2LTEDH2),74,81,101,110,1.2,75,3,12,бензин
29948,343B0027,88,110,120,150,1.4,72,4,16,бензин
41882,DW10FDDU340,106,,144,,2,85,4,16,Дизель
27809,CJSA,132,,180,,1.8,82.5,4,16,бензин
8538,MIDR 06.20.45 D,210,222,286,302,9.8,120,6,12,Дизель
1168,EX,44,,60,,1.5,90,4,8,бензин
29497,4A200LWM,30,,41,,2,83,4,8,Дизель
49321,JL473ZQA,125,,170,,1.5,,4,16,бензин
22884,S8U 780,55,,75,,2.5,93,4,8,Дизель
43610,X17TD,60,60,82,82,1.7,79,4,8,Дизель
28184,DTI5-122HN,154,155,209,211,5.1,110,4,16,Дизель
34925,4K21D4W,160,,218,,2,85,4,16,бензин
4262,B6D,83,85,113,116,1.6,83,4,8,бензин
40914,L62U,128,,174,,6.5,107.28,6,12,Дизель
26326,CJEB,125,,170,,1.8,82.5,4,16,бензин
52577,ISDe300-41,221,,300,,6.7,107,6,24,Дизель
38696,NTC-400,294,298,400,405,14,139.7,6,24,Дизель
27831,M1JE,92,,125,,1,71.9,3,12,бензин
16437,B20614,47,65,64,88,2,86,4,8,бензин
49351,CA4DD1-15E6,113,,154,,3,95.4,4,16,Дизель
43974,UZAM248E,73,73,99,99,1.9,88,4,8,бензин
50568,RA428Q163E50,120,,163,,2.8,94,4,16,Дизель
47558,M4A (TU24),69,70,94,95,1.3,75,4,8,бензин
45908,11 C,92,,125,,2.3,81,6,12,бензин
33719,RHZ (DW10CTED+),80,,109,,2,85,4,8,Дизель
18748,BRF,100,,136,,2,81,4,16,Дизель
52085,TZ290XH003,78,,106,,,,,,электричество
36577,F6AB,31,47,42,64,0.7,65,3,6,бензин
15908,CGBB,81,,110,,1.8,83,4,16,бензин
33344,HMA GN15-TF,120,,163,,1.5,74.8,4,16,бензин
38551,K12M,61,,83,,1.2,73,4,16,бензин
18514,K9K 790,48,,65,,1.5,76,4,8,Дизель
16972,OM 441.919,150,165,204,224,11.3,130,6,12,Дизель
47717,99VSM,239,,325,,4.6,90.2,8,32,бензин
23856,CFKA,132,,180,,2,82.5,4,16,Бензин/спирт
21671,99F,184,239,250,325,4.9,101.6,8,16,бензин
43427,16HL,46,46,63,63,1.6,76.2,4,8,бензин
25782,A 20 DT,96,,131,,2,83,4,16,Дизель
45534,JX6D13.470A5,346,,470,,12.7,130,6,24,Дизель
26167,F6JC,50,,68,,1.4,73.7,4,8,Дизель
19886,Z 16 SE,62,64,84,87,1.6,79,4,8,бензин
42878,1Y,47,47,64,64,1.9,79.5,4,8,Дизель
5085,A79/0 (AYA),13,,18,,0.4,66,2,4,бензин
30976,4B10,100,,136,,1.8,86,4,16,бензин
36294,CA4GA12TD,105,,143,,1.2,73,4,16,бензин
45656,A3H256B42G000,90,100,122,136,,,,,электричество
45903,TZ220XS009,220,,299,,,,,,электричество
325,SF,65,66,88,90,1.8,81,4,8,бензин
21375,131 C4.000,83,85,113,116,2,84,4,8,бензин
21674,99UM,250,,340,,4.9,101.6,8,16,бензин
40661,KL 17 H,88,,120,,1.7,83.5,4,8,бензин
47541,139.580,280,350,381,476,2,83,4,16,бензин
30634,LJ465Q3-1AE1,38,,52,,1.1,65.5,4,16,бензин
38135,YC6L350-42,257,,350,,8.4,113,6,24,Дизель
22350,2ZR-FE,100,103,136,140,1.8,80.5,4,16,бензин
27538,C260-20,191,,260,,8.3,114,6,12,Дизель
38453,DACB,96,,131,,1.5,74.5,4,16,бензин
34512,20 T4G,145,,197,,2,84.45,4,16,бензин
32565,8140.07.2530 ID,56,,76,,2.5,93,4,8,Дизель
52424,A156T2H,130,138,177,188,1.5,75,4,16,бензин
6965,4 BTAA,103,112,140,152,3.9,102,4,8,Дизель
16253,ADP,74,,101,,1.6,81,4,8,бензин
38106,YC6JA180-50,132,,180,,6.9,108,6,12,Дизель
36167,D 12 XHL (EB2ADT),81,,110,,1.2,75,3,12,бензин
19360,S9W 702,84,,114,,2.8,94.4,4,8,Дизель
33486,CA4GX13,65,,88,,1.3,72,4,16,бензин
46546,EFC,298,380,405,517,3,84,6,24,бензин
37112,Y1DA,134,,182,,1.5,84,3,12,бензин
15916,EDBB,96,,131,,2,84.8,4,16,бензин
10572,8280.42.001,350,,476,,17.2,145,8,32,Дизель
29110,MIDR 06.23.56 B/43,303,309,412,420,11.1,123,6,12,Дизель
10983,OM 447.976,184,,250,,12,128,6,12,Дизель
37208,L11(61CUL4),44,52,60,71,1,71.1,4,8,бензин
44126,D4HE,142,148,193,201,2.2,83,4,16,Дизель
33242,4G205L,180,,245,,2,86,4,16,бензин
40350,SQR484B,125,,170,,2,83.5,4,16,бензин
6609,DD 575,77,,105,,5.8,100.61,6,12,Дизель
43545,B4B,29,38,39,52,1.4,75,4,8,бензин
45092,DGS (EP6FADTXHPR),147,,200,,1.6,77,4,16,бензин
25835,4A-GEU,77,91,105,124,1.6,81,4,16,бензин
50601,9D,27,,37,,0.9,62.9,4,8,бензин
24220,QSB 220,164,,220,,6.7,104,6,24,Дизель
23246,OM 475.982,221,,300,,10,128,5,10,Дизель
32186,CSLC,103,,140,,2,81,4,16,Дизель
34704,DA4G18-S1,83,,113,,1.6,76,4,16,бензин
22503,LR8,56,82,76,112,2.5,101.6,4,8,Бензин/спирт
33703,BHV (DV6FDU),70,,95,,1.6,75,4,8,Дизель
18012,Z 12 XEP,55,59,75,80,1.2,73.4,4,16,бензин
40678,GTDIQ96,261,,355,,3,,6,24,бензин
49420,T8DF,125,,170,,2,85,4,16,Дизель
33600,ZD25D14-5N,100,,136,,2.5,,4,16,Дизель
39471,L15A1,66,79,90,107,1.5,73,4,16,бензин
38408,YMFA,96,,130,,2,84.01,4,16,Дизель
29470,LXT,75,81,102,110,1.6,79,4,16,бензин
39135,L15B4,96,,131,,1.5,73,4,16,бензин
34890,JLE-4G18TDC,135,,184,,1.8,,4,16,бензин
25066,KFW (TU3A),55,,75,,1.4,75,4,8,бензин
53757,EECA(EKRA),160,,218,,,,,,электричество
47195,Q23-115E60,85,,116,,2.3,87,4,8,Дизель
28000,A 13 DTR,70,,95,,1.3,69.6,4,16,Дизель
35628,F8C,27,,37,,0.8,68.5,3,6,бензин
20893,N12 B16 A,85,90,116,122,1.6,77,4,16,бензин
42392,XU9JAZ,88,93,120,126,1.9,83,4,8,бензин
18604,LE5,111,130,149,177,2.4,88,4,16,бензин
42808,409210,82,97,112,132,2.7,95.5,4,16,Бензин/газ
11128,D16Y7,77,79,105,107,1.6,75,4,16,бензин
34427,G4NB,110,,150,,1.8,81,4,16,бензин
17739,OM 904.949,128,130,174,177,4.2,102,4,12,Дизель
9216,D12A420,309,,420,,12.1,131,6,24,Дизель
45396,LSQ,128,,174,,2,84,4,16,Дизель
34578,F16A,90,,122,,1.6,81,4,16,бензин
38206,ISD190-50,144,,196,,6.7,107,6,24,Дизель
3963,B 28 E,114,125,155,170,2.8,91,6,12,бензин
18532,K4M 804,65,,88,,1.6,79.5,4,16,бензин
46404,BHE15-EFZ,133,,181,,1.5,75,4,16,бензин
21311,D 2866 LF30,301,,409,,12,128,6,24,Дизель
39905,L1M,70,72,95,98,1.6,82.07,4,8,бензин
24964,CCZC,125,,170,,2,82.5,4,16,бензин
38306,SQRE4T15C,115,,156,,1.5,,4,16,бензин
49699,ML20,102,,139,,2,,4,16,Бензин/газ
26658,LA2,44,49,60,67,1,68.5,4,8,бензин
44971,L360-20,264,,359,,8.8,114,6,24,Дизель
20771,2UR-GSE,311,352,423,479,5,94,8,32,бензин
3632,EG33 DOHC,162,184,220,250,3.3,96.9,6,24,бензин
32830,D15B6,46,54,63,73,1.5,75,4,8,бензин
25783,Z 20 DTJ,96,,131,,2,83,4,16,Дизель
38424,BLRB,125,,170,,2,84.01,4,16,Дизель
45138,TZ210XSW01,120,,163,,,,,,электричество
41794,B3,54,,73,,1.3,71,4,8,бензин
42873,E,42,50,57,68,,,,,электричество
4380,149 A4.000,74,,101,,1.6,84,4,8,бензин
44945,DXi 5-180,136,,185,,4.8,108,4,16,Дизель
23413,CEN,88,,120,,2,82.5,4,8,бензин
22378,D13C380,279,280,379,381,12.8,131,6,24,Дизель
29545,60 D,160,168,218,228,4.6,94,8,16,бензин
46162,F1CE3481G,125,,170,,3,95.8,4,16,Дизель
34154,K3-VT,63,103,86,140,1.3,72,4,16,бензин
6129,OM 442.929,213,,290,,15.1,130,8,16,Дизель
15934,FHE,66,,90,,1.4,76,4,16,бензин
24658,JZDA,224,257,305,350,2.5,,5,20,бензин
41296,G3LE,70,88,95,120,1,71,3,12,Бензин/газ
6939,100 GF 000,26,,35,,0.9,65,4,8,бензин
33008,263 A8.000,77,,105,,1.6,79.5,4,16,Дизель
41776,N04C-TE,110,,150,,4,104,4,16,Дизель
47009,4B2-110C50,80,,109,,2.5,90,4,8,Дизель
29768,GW2.8TC-2,70,,95,,2.8,93,4,8,Дизель
36593,T22DD0P,118,,160,,2.2,86,4,16,Дизель
4045,CJ,51,,70,,2,94,4,8,бензин
46482,QR25DE,108,137,147,186,2.5,89,4,16,бензин
43775,SC44,100,100,136,136,0.9,74,4,16,бензин
38251,WP10.310E53,228,,310,,9.7,126,6,24,Дизель
27203,S07A,43,47,58,64,0.7,64,3,12,бензин
42569,G54B,78,81,106,110,2.6,91.1,4,8,бензин
11228,HY,103,,140,,3,93.7,6,12,бензин
39045,D 15 DT (DV5RUCD),75,,102,,1.5,75,4,16,Дизель
44616,K8D9,100,,136,,1.8,75,6,24,бензин
44914,740.55,221,,300,,11.8,120,8,16,Дизель
18320,G4BB,79,97,107,132,1.8,82,4,16,бензин
27610,OM 936.916,235,260,320,354,7.7,110,6,24,Дизель
26650,LS2,293,362,398,493,6,101.6,8,16,бензин
33348,4D28TC,65,,88,,2.8,95,4,8,Дизель
16166,182 B6.000,68,100,92,136,1.6,80.5,4,16,бензин
42874,LAQ,63,63,86,86,1.2,69.7,4,16,бензин
32102,L57,116,119,158,162,6.5,103,8,16,Дизель
33800,5FP (EP6),84,,114,,1.6,77,4,16,бензин
542,6G72,105,108,143,147,3,91.1,6,12,бензин
38051,CA6DL2-35E4(R),261,,355,,8.6,112,6,24,Дизель
37838,WD615.93E,213,,290,,9.7,126,6,12,Дизель
3686,6G1D/VP,40,,54,,1.3,,4,8,бензин
3218,F1N 724,50,51,68,69,1.7,81,4,8,бензин
39069,KLY1,123,,167,167,2.5,84.5,6,24,бензин
16907,OM 542.943,390,395,530,537,15.9,130,8,32,Дизель
29254,MCT.BA,190,,258,,3,83,6,24,Дизель
30675,CA4DC2-10E4,79,,107,,3.2,98,4,8,Дизель
37740,6HK1-TCL,221,,300,,7.8,115,6,24,Дизель
18168,N46 B20 C,95,125,129,170,2,84,4,16,бензин
49442,GA14DNE,60,66,82,90,1.4,73.6,4,16,бензин
35532,RHR (DW10CB),100,103,136,140,2,85,4,16,Дизель
27577,YZ485ZLQ,46,,62,,2.1,85,4,8,Дизель
26765,F8QA6,48,,65,,1.9,80,4,8,Дизель
42465,G2N,58,58,79,79,1.7,81.8,4,8,бензин
27637,R 754 IE3 ( 20D ),70,74,95,101,3,94,4,8,Дизель
30518,L3,118,119,160,162,2.3,87.5,4,16,бензин
45718,4P10-6AT3,107,,146,,3,95.8,4,16,Дизель
36391,L83(350CUV8),149,153,203,208,5.7,101.6,8,16,бензин
4290,RGX (XU10J2TE),108,,147,,2,86,4,8,бензин
16547,HJ,43,,58,,1.3,75,4,8,бензин
15350,AVU,75,,102,,1.6,81,4,8,бензин
16109,G4CS,82,106,111,144,2.4,86.5,4,8,бензин
33548,DA462-1A/D,32,,44,,0.9,62,4,8,бензин
42944,5,12,15,16,20,0.5,70.4,2,4,бензин
37621,D 0836 LFL AP,235,,320,,6.9,108,6,24,Дизель
19558,B32A,55,,75,,1.3,71,4,16,бензин
41777,S05C-TB,114,,155,,4.6,114,4,16,Дизель
36682,DJSA,110,,150,,1.4,74.5,4,16,бензин
40698,YC6G270-30,199,,270,,7.8,112,6,12,Дизель
30022,LMT,51,,69,,1,68.5,4,16,бензин
5507,6A13,118,151,160,205,2.5,81,6,24,бензин
41970,TLE4G15D,115,,156,,1.5,75,4,16,бензин
35059,CRGA,130,,177,,2,81,4,16,Дизель
50174,F603,55,60,75,82,1.6,81,4,8,бензин
37281,16LW16V,78,,106,,1.6,82,4,16,бензин
41581,HA0001N0,210,250,286,340,,,,,электричество
36140,H021A,80,,109,,,,,,электричество
35187,L8B,265,,360,,5.3,96.01,8,16,бензин
4495,TKA,29,,40,,1,73.96,4,8,бензин
50552,TZ180XS1181,145,155,197,211,,,,,электричество
30963,XG491Q-ME,82,,112,,2.2,91,4,8,бензин
5031,WN,85,,115,,1.9,79.5,5,10,бензин
26101,B10S,47,,64,,1,68.5,4,8,бензин
30830,4JB1-T4B,68,,92,,2.8,93,4,8,Дизель
46087,DNYA,220,,300,,2,91,4,16,бензин
19550,FEY9,71,,97,,2,86,4,12,бензин
15688,F9Q 770,59,,80,,1.9,80,4,8,Дизель
26311,CHYB,55,,75,,1,74.5,3,12,бензин
35685,4K22D4T,160,,218,,2.4,87,4,16,бензин
43232,UMZ-4215.1030,81,81,110,110,2.9,100,4,8,бензин
9403,AHB,42,,57,,1.7,79.5,4,8,Дизель
36465,LS6(151CUL4),63,,86,,2.5,101.6,4,8,бензин
29499,4B243LWH,36,,49,,2.4,87,4,8,Дизель
2651,20 SE,85,90,115,122,2,86,4,8,бензин
26955,RHR (DW10BTED4),100,,136,,2,85,4,16,Дизель
53602,XTDM38,160,,218,,,,,,электричество
44544,AM 477,165,209,224,284,2.8,94,6,24,бензин
18191,BPK,191,,260,,3.2,84.5,6,24,бензин
28826,OM 924.994,136,,185,,4.8,106,4,12,Дизель
31632,FA20E,197,,268,,2,86,4,16,бензин
33808,PX-7 194,194,,264,,6.7,107,6,24,Дизель
1114,4BA,52,,71,,2.5,93.67,4,8,Дизель
299,NC,74,,100,,2,76.5,5,10,Дизель
9848,HFZ (TU1JP),44,,60,,1.1,72,4,8,бензин
18458,RF7J,81,105,110,143,2,86,4,16,Дизель
30128,SQR472WC,50,,68,,1,72,4,16,бензин
25741,A 17 DTL,74,,101,,1.7,79,4,16,Дизель
30652,CNHC,120,,163,,2,81,4,16,Дизель
51622,TZ160X30K,30,,41,,,,,,электричество
36730,463 38 538,169,195,230,265,2,,4,16,бензин
44059,DFYA,110,,150,,1.5,74.5,4,16,бензин
27978,CUNA,135,,184,,2,81,4,16,Дизель
25245,EJ204,103,121,140,165,2,92,4,16,Бензин/газ
38015,WP6.200E50,147,,200,,6.8,105,6,12,Дизель
2031,R203,46,47,63,64,2.2,86,4,8,Дизель
37554,JL465QE,39,,53,,1,65.5,4,8,бензин
2222,OM 603.961,107,110,143,148,3,87,6,12,Дизель
32544,CJXH,213,,290,,2,82.5,4,16,бензин
40953,NQ150DN5,110,,150,,5.6,102,6,24,Газ
36787,Z 14 XEP,66,,90,,1.4,73.4,4,16,бензин
19701,GA16DEL,66,,90,,1.6,76,4,16,бензин
2302,4G12,50,51,68,70,1.4,74,4,8,бензин
16030,ARZ,110,,150,,1.8,81,4,20,бензин
5904,TD 71 FS,180,,245,,6.7,104.775,6,12,Дизель
53347,TZ200XSY,150,,204,,,,,,электричество
39831,K14D,95,,129,,1.4,73,4,16,бензин
12069,DHA,55,,75,,1.25,71.9,4,16,бензин
43744,92Y,64,64,87,87,2.3,96,4,8,бензин
49872,LFB17,105,,143,,2,,4,16,бензин
22877,Z 22 XE,106,,144,,2.2,86,4,16,бензин
26128,K4M 834,78,,106,,1.6,79.5,4,16,Бензин / этиловый спирт / природный газ
9407,M 112.940,160,162,218,220,3.2,89.9,6,18,бензин
284,KH,100,104,136,141,2.1,79.5,5,10,бензин
34755,4G94D,108,,147,,2,81.5,4,16,бензин
29602,OM 470.903,240,315,326,428,10.7,125,6,24,Дизель
23422,18N4S,88,100,120,136,1.8,80,4,16,бензин
44573,G4NR,112,,152,,2,81,4,16,бензин
40670,F2CE3681D,243,,330,,8.7,117,6,24,Дизель
16292,F4AE0481D,95,,130,,3.9,102,4,16,Дизель
3810,3VZ-E,105,112,143,152,3,87.5,6,12,бензин
