eng_id,Код двигателя,Мощность (kw) от,Мощность (kw) до,Мощность (л.с.) от,Мощность (л.с.) до,Объем двигателя (л.),Диаметр цилиндра (мм),Количество цилиндров,Количество клапанов,Тип топлива двигателя
27993,M 279.982,450,463,612,630,6,82.6,12,36,бензин
36015,B58 B30 C,155,265,211,360,3,82,6,24,бензин
21734,CDLA,195,,265,,2,82.5,4,16,бензин
40022,1TZS,100,,136,,2,,4,16,бензин
3950,B 230 FT,115,151,156,205,2.3,96,4,8,бензин
36063,GW4C20NT,145,,197,,2,82.5,4,16,бензин
10573,8460.41L TCA,276,,375,,9.5,120,6,12,Дизель
30643,LJ462QE1,29,,39,,0.8,62,4,8,бензин
5220,XK 4.2 (82-87),151,,205,,4.2,92.1,6,12,бензин
46574,BF2S,184,,250,,3,,6,24,Дизель
26506,8365.25.501,118,,160,,8.1,115,6,12,Дизель
32715,K4M,75,77,102,105,1.6,79.5,4,16,бензин
31427,H4B 400,66,,90,,0.9,72.2,3,12,бензин
28617,AHV (DW10FD),100,,136,,2,85,4,16,Дизель
16784,D12D340,250,,340,,12.1,131,6,24,Дизель
18138,K7J 710,55,,75,,1.4,79.5,4,8,бензин
29553,ESB,276,306,375,416,6.4,104,8,16,бензин
19248,K24A4,116,140,158,190,2.4,87,4,16,бензин
17712,OM 904.932,142,147,193,200,4.2,102,4,12,Дизель
27011,F8D,29,35,39,48,0.8,68.5,3,12,Бензин/газ
46592,552 77 701,88,,120,,1.4,72,4,16,Бензин/газ
19208,OM 629.912,225,,306,,4,86,8,32,Дизель
51318,L15Z,87,,118,,1.5,73,4,16,бензин
33922,CAF488WQ9,174,180,237,245,2,87.5,4,16,бензин
46519,R9DA,184,,250,,2,87.5,4,16,бензин
39910,OM 622.851,75,100,102,136,1.7,80,4,16,Дизель
24640,310 A1.011,51,63,70,86,1,70,4,8,Бензин/спирт
48080,DAM16KL,90,,122,,1.6,76.4,4,16,бензин
34803,EBS,100,127,136,173,2,83,4,16,Дизель
42763,99H,134,157,182,214,5.8,101.6,8,16,бензин
19930,LGD,179,,243,,3.9,99,6,12,бензин
16468,EJ-VE,40,46,56,63,1,72,3,12,бензин
17978,843 A1.000,65,71,88,97,1.4,72,4,16,бензин
28444,4A91S,83,88,113,120,1.5,75,4,16,бензин
35257,D 20 DTH (DW10FC),130,,177,,2,85,4,16,Дизель
13868,AMD,44,,60,,1.4,75.5,4,8,бензин
33053,AM29,381,444,518,604,6,89,12,48,бензин
2912,112 (ZM),100,,136,,2.7,88,6,12,бензин
3770,2RZ-E,84,97,114,132,2.4,95,4,8,бензин
38518,ULB,88,,120,,2,82.5,4,8,бензин
25924,CA6DF3-16E3,125,,170,,6.7,107,6,12,Дизель
15413,DC 9.03,221,,300,,9,115,6,12,Дизель
23660,LZ1,248,,337,,6,101.6,8,16,бензин
34998,DGTD,70,,95,,1.6,79.5,4,16,Дизель
30933,CJSA,132,,180,,1.8,82.5,4,16,бензин
31714,UAZ427810,54,56,74,76,2.4,92,4,8,бензин
42754,MD30DITC,115,,156,,3,96,4,16,Дизель
1301,LUC,60,69,81,94,1.6,79.96,4,8,бензин
40762,5F03 (EP6CDTX),147,,200,,1.6,77,4,16,бензин
37286,6WG1-TCN2,309,,420,,15.7,147,6,24,Дизель
34549,C10.380,283,,385,,10.3,125,6,24,Дизель
54327,YN2X,150,,204,,2,84,4,16,Дизель
37361,LWN,147,,200,,2.8,94,4,16,Дизель
25243,ERB,208,224,283,305,3.6,96,6,24,Бензин/спирт
35387,DDBD,467,,635,,6,84,12,48,бензин
36960,4G69,100,118,136,160,2.4,87,4,16,бензин
1880,F8B,21,29,29,39,0.8,68.5,3,6,бензин
29484,UKMA,100,,136,,2,85,4,16,Дизель
31091,T7CL,110,,150,,2,85,4,16,Дизель
44702,4P10-AAT4,110,,150,,3,95.8,4,16,Дизель
39466,HW,48,,65,,2.2,86,4,8,Дизель
