let_eng_id,let_type_id,case
45571,148253,PC
9112,26209,CV
20372,31182,CV
45653,142424,PC
13968,5895,CV
31067,131193,PC
10573,2270,CV
19160,20794,CV
3728,17257,PC
17169,5802,PC
29042,40589,CV
36809,134672,PC
37401,36886,CV
15309,117932,PC
1876,9731,PC
7780,65605,CV
43737,13777,PC
40468,29107,CV
20879,17972,CV
37784,39514,CV
29841,108613,PC
23658,54785,PC
44819,44705,CV
17050,11915,CV
28082,15612,CV
9479,133631,PC
28082,16064,CV
9169,4221,CV
26897,56157,PC
23709,143078,PC
5736,528,CV
48311,151539,PC
23499,32961,PC
41377,119540,PC
26239,133717,PC
12448,10469,PC
27715,26345,CV
41038,38985,CV
38013,46728,CV
26755,105659,PC
19017,11694,CV
44581,41728,CV
25519,16050,CV
27267,19932,PC
25552,19062,PC
37193,44031,PC
38103,46508,CV
37499,26846,CV
48179,151389,PC
44037,59648,PC
20928,1878,PC
7661,1028,CV
34607,41157,CV
44769,45736,CV
47484,19724,CV
18677,121165,PC
24115,19162,CV
18016,18130,PC
23557,31556,PC
2167,671,PC
24405,25490,PC
35582,23893,CV
21342,52484,CV
2030,4605,PC
43758,6889,PC
28890,17676,CV
34621,43257,CV
5697,7685,CV
38731,21030,PC
32633,118827,PC
11351,133383,PC
23536,732,PC
18807,14410,CV
20295,39382,CV
31664,116622,PC
33742,133110,PC
16855,17182,PC
21997,115980,PC
8849,5151,CV
10227,54598,CV
45970,50660,CV
18001,151024,PC
27595,48925,CV
15929,5191,PC
49924,155044,PC
33911,17932,CV
18830,56079,CV
30265,21699,CV
49697,57890,CV
20292,60667,CV
33911,35307,CV
22926,108250,PC
23484,31729,PC
51951,157950,PC
18658,33784,PC
45666,49455,CV
3814,109653,PC
45249,48901,CV
38832,40257,CV
33737,35614,CV
48012,54013,CV
41396,40037,CV
47602,52713,CV
53869,801678,CV
7784,54228,CV
24296,800916,CV
36459,50898,PC
17667,25206,PC
7780,56555,CV
39230,34120,CV
32135,124888,PC
42909,130443,PC
29552,106935,PC
44813,802706,CV
36441,111539,PC
16209,2555,PC
29007,17859,CV
37836,45238,CV
44912,44276,CV
36444,116422,PC
18183,8091,CV
23657,141019,PC
19010,117505,PC
23862,30005,PC
22153,10611,CV
31191,11740,PC
18179,31136,CV
16487,12240,CV
23694,61760,CV
23693,20938,CV
27483,14952,CV
26553,107090,PC
26480,31093,PC
16319,157431,PC
39941,142189,PC
36282,43019,PC
33736,33496,CV
21990,124305,PC
29829,36525,CV
16467,11873,CV
35607,107753,PC
17245,13845,CV
27972,59077,PC
35784,131896,PC
23081,31546,CV
16167,16101,PC
44405,45544,CV
37622,42027,CV
38123,43009,CV
9751,49019,PC
29009,62195,CV
41968,146802,PC
37312,135895,PC
16340,14760,PC
31938,31529,CV
12988,8542,PC
23059,38545,CV
38712,51965,CV
44571,45515,PC
29283,106227,PC
22500,21465,PC
19550,21121,PC
28554,32966,PC
38465,44375,CV
24636,9775,PC
23692,31161,CV
15496,1886,PC
8893,5105,CV
31599,28881,PC
37715,48063,CV
37622,31880,CV
24922,9818,PC
45959,51192,CV
33645,121720,PC
33175,7965,PC
31796,42889,PC
16467,18283,CV
35910,105721,PC
52070,158149,PC
41113,52386,PC
9505,22110,PC
8150,7605,CV
5799,371,CV
37919,147174,PC
20878,62269,CV
